2026-02-05T13:45:53.680687 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T13:46:06.202254 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:46:08.272428 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:47:17.363982 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-05T13:47:40.564464 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:00:55.276266 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T14:00:55.319686 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T14:01:02.452676 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T14:01:03.056459 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T14:01:03.101297 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:01:54.450446 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T14:01:54.491122 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T14:02:00.866850 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T14:02:01.446154 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T14:02:01.493902 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:02:25.803694 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T14:02:25.846085 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T14:02:36.286544 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T14:02:36.821182 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T14:02:36.862376 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:03:05.361251 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:03:08.213700 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T14:03:08.863834 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T15:31:13.651307 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T15:32:25.963637 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T15:32:27.311498 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T15:32:27.734001 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T15:32:28.094060 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T00:07:44.553196 | 176.65.132.108 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-06T06:15:46.173658 | 121.165.39.252 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-06T08:42:01.809911 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access /run-scrapers | DENIED
2026-02-06T08:42:01.847100 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-06T08:42:08.844483 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-06T08:42:09.392623 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-06T08:42:09.423680 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /run-scrapers | SUCCESS
2026-02-06T08:42:11.442136 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T11:45:18.715128 | 176.65.132.108 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-06T12:46:14.110005 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T12:46:38.366915 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T17:34:40.754064 | 212.227.63.158 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-06T17:37:15.798007 | 109.163.172.51 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-06T17:37:15.991090 | 109.163.172.51 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-06T17:37:18.927699 | 109.163.172.51 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-06T17:37:19.465782 | 109.163.172.51 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-06T17:37:19.790784 | 109.163.172.51 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-06T17:37:20.319191 | 109.163.172.51 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-06T17:37:20.506416 | 109.163.172.51 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T17:37:42.800263 | 109.163.172.51 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-06T21:06:46.079825 | 185.99.65.249 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-07T03:43:10.963438 | 64.89.161.198 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-07T08:16:33.641834 | 82.118.3.206 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-07T08:16:33.780109 | 82.118.3.206 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-07T19:07:32.521676 | 82.118.3.206 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-07T19:07:32.605287 | 82.118.3.206 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-07T21:06:06.563259 | 5.32.176.110 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-07T22:27:20.054098 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-07T22:27:20.119499 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-07T22:27:29.545281 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-07T22:27:30.086248 | 185.186.250.125 | admin | LOGIN_FAILED |  | FAILED
2026-02-07T22:27:37.537280 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-07T22:27:38.075245 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-07T22:27:38.139320 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:45:15.873401 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:45:39.761865 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-07T22:46:00.821966 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:49:06.830975 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:49:11.419610 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:49:51.537395 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:52:09.051119 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-07T22:52:12.021209 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /post/852ea23249f5-20260207-001.json | SUCCESS
2026-02-07T22:52:12.373075 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T05:44:58.603125 | 91.92.241.232 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-08T10:26:16.392538 | 213.92.253.209 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-08T10:45:59.476396 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T13:58:45.586815 | 82.118.3.206 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-08T13:58:52.779795 | 82.118.3.206 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-08T13:58:53.339867 | 82.118.3.206 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-08T13:58:53.427975 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T13:59:47.251221 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-08T13:59:52.074770 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-08T13:59:55.072453 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-08T13:59:57.414300 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T14:00:06.549544 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-08T14:05:41.892341 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T14:05:45.912129 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /run-scrapers | SUCCESS
2026-02-08T14:06:23.813671 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /refresh | SUCCESS
2026-02-08T14:06:23.857676 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T14:08:06.813735 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /refresh | SUCCESS
2026-02-08T14:08:06.862934 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-08T14:08:08.829199 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /refresh | SUCCESS
2026-02-08T14:08:08.879561 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
